year,date,price
1997,Jan-1997,3.45
1997,Feb-1997,2.15
1997,Mar-1997,1.89
1997,Apr-1997,2.03
1997,May-1997,2.25
1997,Jun-1997,2.2
1997,Jul-1997,2.19
1997,Aug-1997,2.49
1997,Sep-1997,2.88
1997,Oct-1997,3.07
1997,Nov-1997,3.01
1997,Dec-1997,2.35
1998,Jan-1998,2.09
1998,Feb-1998,2.23
1998,Mar-1998,2.24
1998,Apr-1998,2.43
1998,May-1998,2.14
1998,Jun-1998,2.17
1998,Jul-1998,2.17
1998,Aug-1998,1.85
1998,Sep-1998,2.02
1998,Oct-1998,1.91
1998,Nov-1998,2.12
1998,Dec-1998,1.72
1999,Jan-1999,1.85
1999,Feb-1999,1.77
1999,Mar-1999,1.79
1999,Apr-1999,2.15
1999,May-1999,2.26
1999,Jun-1999,2.3
1999,Jul-1999,2.31
1999,Aug-1999,2.8
1999,Sep-1999,2.55
1999,Oct-1999,2.73
1999,Nov-1999,2.37
1999,Dec-1999,2.36
2000,Jan-2000,2.42
2000,Feb-2000,2.66
2000,Mar-2000,2.79
2000,Apr-2000,3.04
2000,May-2000,3.59
2000,Jun-2000,4.29
2000,Jul-2000,3.99
2000,Aug-2000,4.43
2000,Sep-2000,5.06
2000,Oct-2000,5.02
2000,Nov-2000,5.52
2000,Dec-2000,8.9
2001,Jan-2001,8.17
2001,Feb-2001,5.61
2001,Mar-2001,5.23
2001,Apr-2001,5.19
2001,May-2001,4.19
2001,Jun-2001,3.72
2001,Jul-2001,3.11
2001,Aug-2001,2.97
2001,Sep-2001,2.19
2001,Oct-2001,2.46
2001,Nov-2001,2.34
2001,Dec-2001,2.3
2002,Jan-2002,2.32
2002,Feb-2002,2.32
2002,Mar-2002,3.03
2002,Apr-2002,3.43
2002,May-2002,3.5
2002,Jun-2002,3.26
2002,Jul-2002,2.99
2002,Aug-2002,3.09
2002,Sep-2002,3.55
2002,Oct-2002,4.13
2002,Nov-2002,4.04
2002,Dec-2002,4.74
2003,Jan-2003,5.43
2003,Feb-2003,7.71
2003,Mar-2003,5.93
2003,Apr-2003,5.26
2003,May-2003,5.81
2003,Jun-2003,5.82
2003,Jul-2003,5.03
2003,Aug-2003,4.99
2003,Sep-2003,4.62
2003,Oct-2003,4.63
2003,Nov-2003,4.47
2003,Dec-2003,6.13
2004,Jan-2004,6.14
2004,Feb-2004,5.37
2004,Mar-2004,5.39
2004,Apr-2004,5.71
2004,May-2004,6.33
2004,Jun-2004,6.27
2004,Jul-2004,5.93
2004,Aug-2004,5.41
2004,Sep-2004,5.15
2004,Oct-2004,6.35
2004,Nov-2004,6.17
2004,Dec-2004,6.58
2005,Jan-2005,6.15
2005,Feb-2005,6.14
